%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.longitude,field.altitude,field.utm_easting,field.utm_northing,field.zone,field.letter
1698242585801361827,94,1698242585800747156,GPS1_Frame,42.33721160888672,-71.0896987915039,14.0,327849.0,4689332.5,19,T
1698242586801135706,95,1698242586800459861,GPS1_Frame,42.337196350097656,-71.0897445678711,14.199999809265137,327845.09375,4689331.0,19,T
1698242587800559322,96,1698242587800193548,GPS1_Frame,42.33716583251953,-71.08978271484375,14.300000190734863,327842.0,4689327.5,19,T
1698242588800987118,97,1698242588800336837,GPS1_Frame,42.337127685546875,-71.08980560302734,14.199999809265137,327840.09375,4689323.0,19,T
1698242589801091107,98,1698242589800451040,GPS1_Frame,42.33708953857422,-71.08981323242188,14.199999809265137,327839.46875,4689319.0,19,T
1698242590800930094,99,1698242590800150632,GPS1_Frame,42.33705139160156,-71.08980560302734,14.100000381469727,327840.1875,4689315.0,19,T
1698242591801242329,100,1698242591800495624,GPS1_Frame,42.33702087402344,-71.08977508544922,14.300000190734863,327842.28125,4689311.5,19,T
1698242592802882299,101,1698242592802125930,GPS1_Frame,42.336997985839844,-71.0897445678711,14.199999809265137,327845.125,4689309.0,19,T
1698242593801421065,102,1698242593800798416,GPS1_Frame,42.33698654174805,-71.0896987915039,14.0,327848.65625,4689307.5,19,T
1698242594800774956,103,1698242594800296783,GPS1_Frame,42.33698272705078,-71.08965301513672,13.800000190734863,327852.5,4689307.0,19,T
1698242595802629316,104,1698242595801873445,GPS1_Frame,42.33699035644531,-71.08960723876953,13.800000190734863,327856.34375,4689308.0,19,T
1698242596802224595,105,1698242596801498651,GPS1_Frame,42.33700942993164,-71.08956146240234,13.800000190734863,327859.6875,4689309.5,19,T
1698242597801838432,106,1698242597801206588,GPS1_Frame,42.3370361328125,-71.08953094482422,13.600000381469727,327862.53125,4689312.5,19,T
1698242598801561083,107,1698242598800931215,GPS1_Frame,42.33707046508789,-71.08951568603516,13.5,327863.96875,4689316.5,19,T
1698242599802118413,108,1698242599801338195,GPS1_Frame,42.33710479736328,-71.08950805664062,13.399999618530273,327864.34375,4689320.5,19,T
1698242600802119894,109,1698242600801469087,GPS1_Frame,42.33714294433594,-71.08953094482422,13.600000381469727,327863.09375,4689324.5,19,T
1698242601802758945,110,1698242601802036285,GPS1_Frame,42.33717346191406,-71.08956146240234,13.800000190734863,327860.6875,4689328.0,19,T
1698242602801583922,111,1698242602801162004,GPS1_Frame,42.33720016479492,-71.089599609375,14.199999809265137,327857.59375,4689330.5,19,T
1698242603802756215,112,1698242603802211046,GPS1_Frame,42.33721160888672,-71.08964538574219,14.300000190734863,327853.9375,4689332.0,19,T
1698242604803561456,113,1698242604802788257,GPS1_Frame,42.33721160888672,-71.08969116210938,14.300000190734863,327849.9375,4689332.5,19,T
